DocID,FilerName,MemberName,State,District,Year,Destination,FilingType,DepartureDate,ReturnDate,TravelSponsor
500005143,Michael Steel,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congessional Institute
500005144,Barry Jackson,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005145,Bryant Avondoglio,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005146,John DeStefano,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005147,Danielle Maurer,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005149,Paul Sass,"Graves, Sam",MO,6,2011,"Baltimore, MD",Original,1/13/2011,1/14/2011,The Congressional Institute
500005150,Shannon (Flaherty) McGahn,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005151,Laena Fallon,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005152,William C. Krieger,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005153,Ja'Ron Smith,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005154,Bill Dolbow,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005155,David Schnittger,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005156,Chelsea Brown,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005157,Steve Stombres,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005158,Andrew Duke,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005159,John Murray,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005160,Larry Lavender,"Bachus, Spencer",AL,6,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005162,Nicole Scott,"Lucas, Frank",OK,3,2011,"Baltimore, MD",Original,1/13/2011,1/14/2011,The Congressional Institute
500005163,Valerie Nelson,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005165,Ed Cassidy,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005166,Jordan Stoick,"Noem, Kristi",SD,0,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005167,Andy Shin,"McDermott, Jim",WA,7,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform - funded through grant from Commonwealth Fund
500005168,Jim McDermott,"McDermott, Jim",WA,7,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform - funded through a grant from The Commonwealth Fund
500005169,Laura Stevens Kent,"Dent, Charles",PA,15,2011,"Baltimore, MD",Amendment,1/13/2011,1/15/2011,The Congressional Institute
500005170,Donna M. Christensen,"Christensen, Donna M.",VI,0,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform
500005171,Elijah E. Cummings,"Cummings, Elijah",MD,7,2011,"Lansing, MI",Original,1/16/2011,1/17/2011,"Greater Lansing Area Dr. Martin Luther King, Jr. Holiday Commission"
500005172,Amy Barrera,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005173,Neil Bradley,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005174,Brad Dayspring,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005175,Mike Ference,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005176,Matt Lira,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institue
500005177,Kyle Nevins,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005178,Kristi Way,"Cantor, Eric",VA,7,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005179,Eric Lausten,"Lipinski, Daniel",IL,3,2011,"Fort Lauderdale, FL",Original,1/14/2011,1/17/2011,Alliance for Health Reform via grant from the Commonwealth Fund
500005191,Hugh Nathanial Halpern,"Dreier, David",CA,26,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005192,Daniel Lipinski,"Lipinski, Daniel",IL,3,2011,"Fort Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform via grant from the Commonwealth Fund
500005193,Earl Blumenauer,"Blumenauer, Earl",OR,3,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform (funded through a grant from the Commonwealth Fund)
500005194,Erica Elliot,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005195,John Stipicevic,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005197,Brian Worth,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005198,Stephen Pinkos,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005199,Pete Meachum,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005200,Natalie Buchanan,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005201,Sarah Pompei,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005202,Rush Holt,"Holt, Rush",NJ,12,2011,"Ft. Lauderdale, FL",Original,1/14/2011,1/17/2011,Alliance for Health Reform and the Commonwealth Fund
500005203,William Smith,"Rogers, Harold",KY,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005204,Robert L. Simmons II,"McKeon, Howard P. ""Buck""",CA,25,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005205,Gary Andres,"Upton, Fred",MI,6,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005206,Allyson Y. Schwartz,"Schwartz, Allyson Y.",PA,13,2011,"Fort Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform - funded through a grant from the Commonwealth Fund
500005207,Timothy Berry,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005208,James B. Min,"McCarthy, Kevin",CA,23,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005209,E. Barrett Karr,"Kline, John",MN,2,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005210,Augustine (Austin) T. Smythe,"Ryan, Paul",WI,1,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005211,Stephen Fincher,"Fincher, Stephen Lee",TN,8,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005211,Stephen Fincher,"Fincher, Stephen Lee",TN,8,2011,"Memphis, TN",Original,1/27/2011,1/29/2011,Heritage Foundation
500005212,Nita Lowey,"Lowey, Nita",NY,17,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/18/2011,The Alliance for Health Reform - funded through a grant from the Commonwealth fund
500005213,Yleem D.S. Poblete,"Ros-Lehtinen, Ileana",FL,27,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005214,Steven Moore,"Roskam, Peter",IL,6,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005215,Gene Green,"Green, Gene",TX,29,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,"Alliance for Health Reform, Commonwealth Fund"
500005216,Michael Burgess,"Burgess, Michael",TX,26,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform - funded through a grant from the Commonwealth Fund
500005220,Helen W. Tolar,"Miller, Jeff",FL,1,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005221,Derek N. Harley,"Herger, Wally",CA,2,2011,"Key West, FL",Original,1/25/2011,1/27/2011,Public Affairs Council (PAC)
500005222,Lawrence Brady,"Issa, Darrell",CA,49,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005223,Philip Kiko,"Lungren, Daniel E.",CA,3,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute (CI)
500005224,Kevin James,"Petri, Thomas E.",WI,6,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform via grant from The Commonwealth Fund
500005225,Thomas E. Petri,"Petri, Thomas E.",WI,6,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform via a grant from The Commonwealth Fund
500005226,Daniel P. Coughlin,"Coughlin, Daniel P.",,,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,"The Congressional Institute, Inc."
500005227,Abigail Pinkele,"Green, Gene",TX,29,2011,"Ft. Lauderdale, FL",Original,1/15/2011,1/17/2011,The Alliance for Health Reform through a grant provided by the Commonwealth Fund.
500005228,Diana L. DeGette,"DeGette, Diana",CO,1,2011,"Fort Lauderdale, FL",Original,1/14/2011,1/16/2011,Alliance for Health Reform - funded through a grant from the Commonwealth Fund
500005229,Steven Moore,"Roskam, Peter",IL,6,2011,"Baltimore, MD",Amendment,1/13/2011,1/15/2011,The Congressional Institute
500005230,Michael Shank,"Honda, Michael M.",CA,17,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (A project of Demos)
500005231,Bruce F. Miller,"Jordan, Jim",OH,4,2011,"Simi Valley, CA",Original,1/27/2011,1/30/2011,The Heritage Foundation
500005232,Marsha Blackburn,"Blackburn, Marsha",TN,7,2011,"Las Vegas, NV",Amendment,1/7/2011,1/9/2011,Consumer Electronics Association
500005233,Hannah Walker,"Rooney, Thomas",FL,17,2011,"Miami, FL",Original,1/27/2011,2/2/2011,Everglades Foundation
500005234,Jane Rohrs,"Camp, Dave",MI,4,2011,"Boca Raton, FL",Original,1/21/2011,1/21/2011,American Bar Association
500005235,Thomas A. Barthold,"Camp, Dave",MI,4,2011,"Boca Raton, FL",Original,1/22/2011,1/23/2011,ABA Section of Taxation and the ABA Fund for Justice and Education
500005236,Allison Rose,"Chu, Judy",CA,27,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005237,Judy Chu,"Chu, Judy",CA,27,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005238,Keith Ellison,"Ellison, Keith",MN,5,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (a project of Demos)
500005239,Tim Schuman,"Ellison, Keith",MN,5,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (a project of Demos)
500005240,Kari Moe,"Ellison, Keith",MN,5,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongress.org and Progessive Ideas Network (a project of Demos)
500005241,Cesar Gonzalez,"Diaz-Balart, Mario",FL,25,2011,"Key Largo, FL",Original,1/27/2011,1/30/2011,Everglades Foundation
500005241,Cesar Gonzalez,"Diaz-Balart, Mario",FL,25,2011,"Miami, FL",Original,1/27/2011,1/30/2011,Everglades Foundation
500005242,Miguel Mendoza,"Diaz-Balart, Mario",FL,25,2011,"Key Largo, FL",Original,1/27/2011,1/30/2011,Everglades Foundation
500005243,Scott Goldstein,"Johnson, Henry",GA,4,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos: Ideas and Action to Transform America and ProgressiveCongress.org
500005245,Doug Lamborn,"Lamborn, Doug",CO,5,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005246,Amy Emerick,"Grijalva, Raul",AZ,3,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005247,Kelsey Mishkin,"Grijalva, Raul",AZ,3,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005248,Raul Grijalva,"Grijalva, Raul",AZ,3,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005249,Matt McGinley,"Price, Tom",GA,6,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005250,Wm. Lacy Clay,"Clay, Wm.",MO,1,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (A Project Demos)
500005251,Keith M. Ellison,"Ellison, Keith",MN,5,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (a project  of Demos)
500005253,Tim Schumann,"Ellison, Keith",MN,5,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (a project of Demos)
500005254,Kari Moe,"Ellison, Keith",MN,5,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (a project of Demos)
500005255,Todd Young,"Hastings, Doc",WA,4,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005256,Peter Roskam,"Roskam, Peter",IL,6,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005257,Scott Goldstein,"Johnson, Henry",GA,4,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,Demos: Ideas and Action to Transform America and ProgressiveCongress.org
500005258,"Henry C. ""Hank"" Johnson","Johnson, Henry",GA,4,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,Demos: Ideas and Action to Transform America and ProgressiveCongress.org
500005259,"Henry C. ""Hank"" Johnson","Johnson, Henry",GA,4,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Demos: Ideas and Action to Transform America and ProgressiveCongress.org
500005263,Jim McDermott,"McDermott, Jim",WA,7,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Progressive Ideas Network and ProgressiveCongress.org
500005264,Jan Schakowsky,"Schakowsky, Janice",IL,9,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongressive.org and Progressive Ideas Network (A Project of Demos)
500005265,Cathy Hurwit,"Schakowsky, Janice",IL,9,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongressive.org and Progressive Ideas Network (A Project of Demos)
500005266,Andy Shin,"McDermott, Jim",WA,7,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,Progressive Ideas Network and ProgressiveCongressive.org
500005268,Donna M. Christensen,"Christensen, Donna M.",VI,0,2011,"Annapolis, MD",Original,1/27/2011,1/27/2011,CBC Institute
500005269,Sheila Jackson Lee,"Jackson Lee, Sheila",TX,18,2011,"Chantilly, VA",Original,1/28/2011,1/28/2011,CPC
500005270,Randall M. Hultgren,"Hultgren, Randy",IL,14,2011,"Los Angeles, CA",Original,1/26/2011,1/30/2011,Heritage Foundation
500005271,Ian Wolf,"Hastings, Alcee",FL,20,2011,"Miami, FL",Original,1/27/2011,1/30/2011,Everglades Foundation
500005272,Paul Ryan,"Ryan, Paul",WI,1,2011,"Los Angeles, CA",Original,1/27/2011,1/31/2011,Heritage Foundation
500005273,Scott Garrett,"Garrett, Scott",NJ,5,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005279,David Schweikert,"Schweikert, David",AZ,6,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005280,Joe Wilson,"Wilson, Joe",SC,2,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005288,Frank W. Cullen Jr.,"Bono Mack, Mary",CA,45,2011,"Las Vegas, NV",Original,1/7/2011,1/9/2011,Consumer Electronics Association (CEA)
500005289,Tammy Baldwin,"Baldwin, Tammy",WI,2,2011,"Ft. Lauderdale, FL",Original,1/14/2011,1/16/2011,Alliance for Health Reform -- Funded through a grant from The Commonwealth Fund
500005290,Robert B. Aderholt,"Aderholt, Robert",AL,4,2011,"Westlake Village, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005291,Vicky Hartzler,"Hartzler, Vicky",MO,4,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005292,Wm. Lacy Clay,"Clay, Wm.",MO,1,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas Network (A project Demos)
500005293,Allison Rose,"Chu, Judy",CA,27,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005294,Judy Chu,"Chu, Judy",CA,27,2011,"Chantilly, VA",Amendment,1/27/2011,1/28/2011,Demos and the ProgressiveCongress.org
500005295,Steve Cohen,"Cohen, Steve",TN,9,2011,"Chantilly, VA",Original,1/27/2011,1/28/2011,ProgressiveCongress.org and Progressive Ideas
500005296,James Lankford,"Lankford, James",OK,5,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005297,Diane Black,"Black, Diane",TN,6,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005299,Mike Rogers,"Rogers, Mike",AL,3,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005300,Sheila Jackson Lee,"Jackson Lee, Sheila",TX,18,2011,"Annapolis, MD",Original,1/27/2011,1/27/2011,CBCF
500005304,Cyrus Artz,"Jordan, Jim",OH,4,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005305,Mike Coffman,"Coffman, Mike",CO,6,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005307,Dan Burton,"Burton, Dan",IN,5,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005308,Raymond Yonkura,"Jordan, Jim",OH,4,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005309,Stevan Pearce,"Pearce, Stevan",NM,2,2011,"El Paso, TX",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005309,Stevan Pearce,"Pearce, Stevan",NM,2,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005310,David Dreier,"Dreier, David",CA,26,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005311,Jeff Duncan,"Duncan, Jeff",SC,3,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005312,Jim Jordan,"Jordan, Jim",OH,4,2011,"Simi Valley, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
500005313,Jeff Denham,"Denham, Jeff",CA,10,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005313,Jeff Denham,"Denham, Jeff",CA,10,2011,"Westlake Village, CA",Original,1/27/2011,1/29/2011,The Heritage Foundation
500005314,David P. Roe,"Roe, David",TN,1,2011,"Los Angeles, CA",Original,1/27/2011,1/29/2011,Heritage Foundation
