month,year,county,amount,sales_type
10,2016,Park,,medical
10,2016,Pitkin,527278.0,retail
10,2016,Pitkin,71227.0,medical
10,2016,Pueblo,2730719.0,retail
10,2016,Pueblo,645119.0,medical
10,2016,Routt,665803.0,retail
10,2016,Routt,205695.0,medical
10,2016,Saguache,,retail
10,2016,San Miguel,40475.0,medical
10,2016,San Juan,,retail
10,2016,Sedgwick,,medical
10,2016,San Miguel,242681.0,retail
10,2016,Summit,156993.0,medical
10,2016,Sedgwick,,retail
10,2016,Teller,,medical
10,2016,Summit,1235632.0,retail
10,2016,Weld,242582.0,medical
10,2016,Weld,2535546.0,retail
10,2016,Sum of NR Counties,564284.0,medical
10,2016,Sum of NR Counties,4043880.0,retail
6,2014,Adams,433176.0,medical
6,2014,Adams,,retail
6,2014,Alamosa,,medical
6,2014,Boulder,2593735.0,retail
6,2014,Arapahoe,1425313.0,medical
6,2014,Clear Creek,396938.0,retail
6,2014,Archuleta,,medical
6,2014,Denver,12245778.0,retail
6,2014,Boulder,2507058.0,medical
6,2014,Eagle,,retail
6,2014,Chaffee,96647.0,medical
6,2014,Garfield,392391.0,retail
6,2014,Clear Creek,97965.0,medical
6,2014,Gilpin,145630.0,retail
6,2014,Costilla,,medical
6,2014,Gunnison,,retail
6,2014,Denver,13476218.0,medical
6,2014,Jefferson,1445315.0,retail
6,2014,Eagle,132878.0,medical
6,2014,Lake,,retail
6,2014,El Paso,5342494.0,medical
6,2014,Larimer,,retail
6,2014,Fremont,228665.0,medical
6,2014,Ouray,,retail
6,2014,Garfield,418280.0,medical
6,2014,Park,,retail
6,2014,Gilpin,38278.0,medical
6,2014,Pitkin,322473.0,retail
6,2014,Grand,,medical
6,2014,Pueblo,1571864.0,retail
6,2014,Gunnison,,medical
6,2014,Routt,,retail
6,2014,Jefferson,1889080.0,medical
6,2014,San Miguel,451452.0,retail
6,2014,La Plata,544589.0,medical
6,2014,Sedgwick,,retail
6,2014,Larimer,1112079.0,medical
6,2014,Summit,686139.0,retail
6,2014,Mesa,,medical
6,2014,Weld,795293.0,retail
6,2014,Moffat,,medical
6,2014,Sum of NR Counties,2931074.0,retail
6,2014,Montezuma,115548.0,medical
6,2014,Montrose,,medical
6,2014,Ouray,,medical
6,2014,Park,,medical
6,2014,Pitkin,110679.0,medical
6,2014,Pueblo,403341.0,medical
6,2014,Routt,,medical
6,2014,Saguache,,medical
6,2014,San Miguel,75455.0,medical
6,2014,Sedgwick,,medical
6,2014,Summit,203354.0,medical
6,2014,Teller,,medical
6,2014,Weld,470633.0,medical
6,2014,Sum of NR Counties,828579.0,medical
12,2014,Adams,470394.0,medical
12,2014,Adams,1445817.0,retail
12,2014,Alamosa,,medical
12,2014,Arapahoe,1416559.0,retail
12,2014,Arapahoe,1498465.0,medical
12,2014,Archuleta,,retail
12,2014,Archuleta,,medical
12,2014,Boulder,3592405.0,retail
12,2014,Boulder,2548354.0,medical
12,2014,Chaffee,,retail
12,2014,Chaffee,,medical
12,2014,Clear Creek,371997.0,retail
12,2014,Clear Creek,83182.0,medical
12,2014,Costilla,,retail
12,2014,Costilla,,medical
12,2014,Denver,14797861.0,retail
12,2014,Denver,12138739.0,medical
12,2014,Eagle,710631.0,retail
12,2014,Eagle,277950.0,medical
12,2014,El Paso,,retail
12,2014,El Paso,5517533.0,medical
12,2014,Garfield,560065.0,retail
12,2014,Fremont,178729.0,medical
12,2014,Gilpin,103121.0,retail
12,2014,Garfield,283365.0,medical
12,2014,Grand,,retail
12,2014,Gilpin,34112.0,medical
12,2014,Gunnison,228173.0,retail
12,2014,Grand,,medical
12,2014,Jefferson,1990092.0,retail
12,2014,Gunnison,,medical
12,2014,Lake,,retail
12,2014,Jefferson,1832756.0,medical
12,2014,La Plata,838948.0,retail
12,2014,La Plata,497203.0,medical
12,2014,Larimer,1613144.0,retail
12,2014,Larimer,1316194.0,medical
12,2014,Las Animas,,retail
12,2014,Las Animas,,medical
12,2014,Montezuma,,retail
12,2014,Mesa,,medical
12,2014,Morgan,,retail
12,2014,Moffat,,medical
12,2014,Ouray,,retail
12,2014,Montezuma,117849.0,medical
12,2014,Park,,retail
12,2014,Montrose,,medical
12,2014,Pitkin,599569.0,retail
12,2014,Morgan,,medical
12,2014,Pueblo,1158670.0,retail
12,2014,Ouray,,medical
12,2014,Routt,493734.0,retail
12,2014,Park,,medical
12,2014,Saguache,,retail
12,2014,Pitkin,84226.0,medical
12,2014,San Miguel,292834.0,retail
12,2014,Pueblo,399460.0,medical
12,2014,Sedgwick,,retail
12,2014,Routt,169025.0,medical
12,2014,Summit,1256397.0,retail
12,2014,San Miguel,43788.0,medical
12,2014,Weld,1071049.0,retail
12,2014,Sedgwick,,medical
12,2014,Sum of NR Counties,2038379.0,retail
12,2014,Summit,205226.0,medical
12,2014,Teller,,medical
12,2014,Weld,394521.0,medical
12,2014,Sum of NR Counties,569648.0,medical
7,2014,Adams,452488.0,medical
7,2014,Adams,,retail
7,2014,Alamosa,,medical
7,2014,Boulder,3192671.0,retail
7,2014,Arapahoe,1470823.0,medical
7,2014,Clear Creek,473299.0,retail
7,2014,Archuleta,,medical
7,2014,Denver,14518417.0,retail
7,2014,Boulder,2547883.0,medical
7,2014,Eagle,,retail
7,2014,Chaffee,92938.0,medical
7,2014,El Paso,,retail
7,2014,Clear Creek,108796.0,medical
7,2014,Garfield,403958.0,retail
7,2014,Costilla,,medical
7,2014,Gilpin,160328.0,retail
7,2014,Denver,14083010.0,medical
7,2014,Gunnison,307664.0,retail
7,2014,Eagle,165132.0,medical
7,2014,Jefferson,1699749.0,retail
7,2014,El Paso,5895119.0,medical
7,2014,Lake,,retail
7,2014,Fremont,250084.0,medical
7,2014,Larimer,1083910.0,retail
7,2014,Garfield,446439.0,medical
7,2014,Ouray,,retail
7,2014,Gilpin,36110.0,medical
7,2014,Park,,retail
7,2014,Grand,,medical
7,2014,Pitkin,505148.0,retail
7,2014,Gunnison,,medical
7,2014,Pueblo,1985679.0,retail
7,2014,Jefferson,1913729.0,medical
7,2014,Routt,,retail
7,2014,La Plata,604088.0,medical
7,2014,Saguache,,retail
7,2014,Larimer,1087000.0,medical
7,2014,San Miguel,548213.0,retail
7,2014,Mesa,,medical
7,2014,Sedgwick,,retail
7,2014,Moffat,,medical
7,2014,Summit,981349.0,retail
7,2014,Montezuma,120802.0,medical
7,2014,Weld,1168267.0,retail
7,2014,Montrose,,medical
7,2014,Sum of NR Counties,2838140.0,retail
7,2014,Ouray,,medical
7,2014,Park,,medical
7,2014,Pitkin,117930.0,medical
7,2014,Pueblo,459326.0,medical
7,2014,Routt,,medical
7,2014,Saguache,,medical
7,2014,San Miguel,49131.0,medical
7,2014,Sedgwick,,medical
7,2014,Summit,189746.0,medical
7,2014,Teller,,medical
7,2014,Weld,303374.0,medical
7,2014,Sum of NR Counties,743675.0,medical
11,2016,Adams,529977.0,medical
11,2016,Adams,4396031.0,retail
11,2016,Alamosa,,medical
11,2016,Arapahoe,8514717.0,retail
11,2016,Arapahoe,1458869.0,medical
11,2016,Archuleta,,retail
11,2016,Archuleta,,medical
11,2016,Boulder,5444937.0,retail
11,2016,Boulder,2099029.0,medical
11,2016,Chaffee,308023.0,retail
11,2016,Chaffee,,medical
11,2016,Clear Creek,431209.0,retail
11,2016,Clear Creek,70063.0,medical
11,2016,Conejos,320078.0,retail
11,2016,Costilla,,medical
11,2016,Costilla,228406.0,retail
11,2016,Denver,17182972.0,medical
11,2016,Denver,26146211.0,retail
11,2016,Eagle,150334.0,medical
11,2016,Eagle,886933.0,retail
11,2016,El Paso,8011818.0,medical
11,2016,El Paso,,retail
11,2016,Fremont,,medical
11,2016,Garfield,1372095.0,retail
11,2016,Garfield,317199.0,medical
11,2016,Gilpin,187219.0,retail
11,2016,Gilpin,,medical
11,2016,Grand,250357.0,retail
11,2016,Grand,,medical
11,2016,Gunnison,390416.0,retail
11,2016,Gunnison,,medical
11,2016,Huerfano,,retail
11,2016,Jefferson,1474361.0,medical
11,2016,Jefferson,3935409.0,retail
11,2016,La Plata,339564.0,medical
11,2016,La Plata,1718599.0,retail
11,2016,Larimer,1211727.0,medical
11,2016,Lake,,retail
11,2016,Las Animas,,medical
11,2016,Larimer,3964140.0,retail
11,2016,Mesa,,medical
11,2016,Las Animas,2305460.0,retail
11,2016,Moffat,,medical
11,2016,Mesa,,retail
11,2016,Montezuma,62866.0,medical
11,2016,Montezuma,1212346.0,retail
11,2016,Montrose,,medical
11,2016,Morgan,558715.0,retail
11,2016,Morgan,,medical
11,2016,Ouray,298217.0,retail
11,2016,Ouray,,medical
11,2016,Park,277990.0,retail
11,2016,Park,,medical
11,2016,Pitkin,445008.0,retail
11,2016,Pitkin,60322.0,medical
11,2016,Pueblo,2583047.0,retail
11,2016,Pueblo,659236.0,medical
11,2016,Routt,593501.0,retail
11,2016,Routt,168346.0,medical
11,2016,Saguache,,retail
11,2016,San Miguel,30453.0,medical
11,2016,San Juan,,retail
11,2016,Sedgwick,,medical
11,2016,San Miguel,146596.0,retail
11,2016,Summit,,medical
11,2016,Sedgwick,,retail
11,2016,Teller,,medical
11,2016,Summit,1314039.0,retail
11,2016,Weld,,medical
11,2016,Weld,2417762.0,retail
11,2016,Sum of NR Counties,1012303.0,medical
11,2016,Sum of NR Counties,3735431.0,retail
5,2016,Adams,391906.0,medical
5,2016,Adams,3360096.0,retail
5,2016,Alamosa,,medical
5,2016,Arapahoe,7426175.0,retail
5,2016,Arapahoe,1511924.0,medical
5,2016,Archuleta,,retail
5,2016,Archuleta,,medical
5,2016,Boulder,5315292.0,retail
5,2016,Boulder,2436555.0,medical
5,2016,Chaffee,333276.0,retail
5,2016,Chaffee,,medical
5,2016,Clear Creek,452848.0,retail
5,2016,Clear Creek,83258.0,medical
5,2016,Conejos,257716.0,retail
5,2016,Costilla,,medical
5,2016,Costilla,223862.0,retail
5,2016,Denver,17833330.0,medical
5,2016,Denver,21615189.0,retail
5,2016,Eagle,194685.0,medical
5,2016,Eagle,650881.0,retail
5,2016,El Paso,8343490.0,medical
5,2016,El Paso,,retail
5,2016,Fremont,207499.0,medical
5,2016,Garfield,1210134.0,retail
5,2016,Garfield,526740.0,medical
5,2016,Gilpin,225826.0,retail
5,2016,Gilpin,,medical
5,2016,Grand,189787.0,retail
5,2016,Grand,,medical
5,2016,Gunnison,344705.0,retail
5,2016,Gunnison,,medical
5,2016,Huerfano,,retail
5,2016,Jefferson,1679965.0,medical
5,2016,Jefferson,3572041.0,retail
5,2016,La Plata,400259.0,medical
5,2016,Lake,147684.0,retail
5,2016,Larimer,1292029.0,medical
5,2016,La Plata,1740113.0,retail
5,2016,Las Animas,,medical
5,2016,Larimer,3465166.0,retail
5,2016,Mesa,,medical
5,2016,Las Animas,1456567.0,retail
5,2016,Moffat,,medical
5,2016,Mesa,,retail
5,2016,Montezuma,100642.0,medical
5,2016,Montezuma,842550.0,retail
5,2016,Montrose,,medical
5,2016,Morgan,543167.0,retail
5,2016,Morgan,,medical
5,2016,Ouray,325887.0,retail
5,2016,Ouray,,medical
5,2016,Park,237775.0,retail
5,2016,Park,,medical
5,2016,Pitkin,392581.0,retail
5,2016,Pitkin,80601.0,medical
5,2016,Pueblo,2184317.0,retail
5,2016,Pueblo,1262557.0,medical
5,2016,Routt,514632.0,retail
5,2016,Routt,,medical
5,2016,Saguache,,retail
5,2016,San Miguel,37042.0,medical
5,2016,San Juan,,retail
5,2016,Sedgwick,,medical
5,2016,San Miguel,157740.0,retail
5,2016,Summit,161710.0,medical
5,2016,Sedgwick,,retail
5,2016,Teller,,medical
5,2016,Summit,991298.0,retail
5,2016,Weld,360773.0,medical
5,2016,Weld,2043048.0,retail
5,2016,Sum of NR Counties,731330.0,medical
5,2016,Sum of NR Counties,3610718.0,retail
7,2016,Adams,407856.0,medical
7,2016,Adams,4154813.0,retail
7,2016,Alamosa,,medical
7,2016,Arapahoe,8738376.0,retail
7,2016,Arapahoe,1544755.0,medical
7,2016,Archuleta,,retail
7,2016,Archuleta,,medical
7,2016,Boulder,6365624.0,retail
7,2016,Boulder,2288359.0,medical
7,2016,Chaffee,,retail
7,2016,Chaffee,,medical
7,2016,Clear Creek,672704.0,retail
7,2016,Clear Creek,69153.0,medical
7,2016,Conejos,436196.0,retail
7,2016,Costilla,,medical
7,2016,Costilla,383906.0,retail
7,2016,Denver,19516909.0,medical
7,2016,Denver,25938973.0,retail
7,2016,Eagle,203569.0,medical
7,2016,Eagle,1111856.0,retail
7,2016,El Paso,9016410.0,medical
7,2016,El Paso,,retail
7,2016,Fremont,229800.0,medical
7,2016,Garfield,1628885.0,retail
7,2016,Garfield,443929.0,medical
7,2016,Gilpin,267260.0,retail
7,2016,Gilpin,,medical
7,2016,Grand,381080.0,retail
7,2016,Grand,,medical
7,2016,Gunnison,459794.0,retail
7,2016,Gunnison,,medical
7,2016,Huerfano,,retail
7,2016,Jefferson,1706015.0,medical
7,2016,Jefferson,4318330.0,retail
7,2016,La Plata,429948.0,medical
7,2016,Lake,274691.0,retail
7,2016,Larimer,1355537.0,medical
7,2016,La Plata,2306604.0,retail
7,2016,Las Animas,,medical
7,2016,Larimer,4181160.0,retail
7,2016,Mesa,,medical
7,2016,Las Animas,2179979.0,retail
7,2016,Moffat,,medical
7,2016,Mesa,,retail
7,2016,Montezuma,104162.0,medical
7,2016,Montezuma,1187679.0,retail
7,2016,Montrose,,medical
7,2016,Morgan,634140.0,retail
7,2016,Morgan,,medical
7,2016,Ouray,505470.0,retail
7,2016,Ouray,,medical
7,2016,Park,381198.0,retail
7,2016,Park,,medical
7,2016,Pitkin,1062245.0,retail
7,2016,Pitkin,97253.0,medical
7,2016,Pueblo,2995085.0,retail
7,2016,Pueblo,1351605.0,medical
7,2016,Routt,882414.0,retail
7,2016,Routt,157223.0,medical
7,2016,Saguache,,retail
7,2016,San Miguel,43759.0,medical
7,2016,San Juan,,retail
7,2016,Sedgwick,,medical
7,2016,San Miguel,446217.0,retail
7,2016,Summit,170367.0,medical
7,2016,Sedgwick,,retail
7,2016,Teller,,medical
7,2016,Summit,1760408.0,retail
7,2016,Weld,335697.0,medical
7,2016,Weld,2381224.0,retail
7,2016,Sum of NR Counties,657679.0,medical
7,2016,Sum of NR Counties,5442136.0,retail
11,2014,Adams,480189.0,medical
11,2014,Adams,1304091.0,retail
11,2014,Alamosa,,medical
11,2014,Arapahoe,805369.0,retail
11,2014,Arapahoe,1345048.0,medical
11,2014,Archuleta,,retail
11,2014,Archuleta,,medical
11,2014,Boulder,3196349.0,retail
11,2014,Boulder,2400813.0,medical
11,2014,Chaffee,,retail
11,2014,Chaffee,,medical
11,2014,Clear Creek,298012.0,retail
11,2014,Clear Creek,91727.0,medical
11,2014,Costilla,,retail
11,2014,Costilla,,medical
11,2014,Denver,13742869.0,retail
11,2014,Denver,13469383.0,medical
11,2014,Eagle,373883.0,retail
11,2014,Eagle,210732.0,medical
11,2014,El Paso,,retail
11,2014,El Paso,5223552.0,medical
11,2014,Garfield,507297.0,retail
11,2014,Fremont,159257.0,medical
11,2014,Gilpin,,retail
11,2014,Garfield,318967.0,medical
11,2014,Grand,,retail
11,2014,Gilpin,,medical
11,2014,Gunnison,133062.0,retail
11,2014,Grand,,medical
11,2014,Jefferson,1679786.0,retail
11,2014,Gunnison,,medical
11,2014,Lake,,retail
11,2014,Jefferson,1837165.0,medical
11,2014,La Plata,647493.0,retail
11,2014,La Plata,459409.0,medical
11,2014,Larimer,1493948.0,retail
11,2014,Larimer,1185998.0,medical
11,2014,Las Animas,,retail
11,2014,Mesa,,medical
11,2014,Morgan,,retail
11,2014,Moffat,,medical
11,2014,Ouray,,retail
11,2014,Montezuma,,medical
11,2014,Park,,retail
11,2014,Montrose,,medical
11,2014,Pitkin,216781.0,retail
11,2014,Morgan,,medical
11,2014,Pueblo,1137217.0,retail
11,2014,Ouray,,medical
11,2014,Routt,,retail
11,2014,Park,,medical
11,2014,Saguache,,retail
11,2014,Pitkin,72294.0,medical
11,2014,San Miguel,169659.0,retail
11,2014,Pueblo,324106.0,medical
11,2014,Sedgwick,,retail
11,2014,Routt,,medical
11,2014,Summit,706675.0,retail
11,2014,San Miguel,26291.0,medical
11,2014,Weld,992006.0,retail
11,2014,Sedgwick,,medical
11,2014,Sum of NR Counties,2065629.0,retail
11,2014,Summit,163698.0,medical
11,2014,Teller,,medical
11,2014,Weld,416639.0,medical
11,2014,Sum of NR Counties,793194.0,medical
5,2014,Adams,467977.0,medical
5,2014,Adams,,retail
5,2014,Alamosa,,medical
5,2014,Boulder,2354205.0,retail
5,2014,Arapahoe,1511922.0,medical
5,2014,Clear Creek,320076.0,retail
5,2014,Archuleta,,medical
5,2014,Denver,11300905.0,retail
5,2014,Boulder,2823124.0,medical
5,2014,Eagle,,retail
5,2014,Chaffee,88974.0,medical
5,2014,Garfield,292839.0,retail
5,2014,Clear Creek,97349.0,medical
5,2014,Gilpin,116815.0,retail
5,2014,Costilla,,medical
5,2014,Gunnison,,retail
5,2014,Denver,14150620.0,medical
5,2014,Jefferson,1435895.0,retail
5,2014,Eagle,146126.0,medical
5,2014,Lake,,retail
5,2014,El Paso,5518910.0,medical
5,2014,Larimer,,retail
5,2014,Fremont,239918.0,medical
5,2014,Ouray,,retail
5,2014,Garfield,434235.0,medical
5,2014,Park,,retail
5,2014,Gilpin,42979.0,medical
5,2014,Pitkin,185390.0,retail
5,2014,Grand,,medical
5,2014,Pueblo,1417017.0,retail
5,2014,Gunnison,,medical
5,2014,Routt,,retail
5,2014,Jefferson,2037535.0,medical
5,2014,San Miguel,257276.0,retail
5,2014,La Plata,561810.0,medical
5,2014,Summit,545898.0,retail
5,2014,Larimer,1116171.0,medical
5,2014,Weld,694205.0,retail
5,2014,Mesa,,medical
5,2014,Sum of NR Counties,2454480.0,retail
5,2014,Moffat,,medical
5,2014,Montezuma,120385.0,medical
5,2014,Montrose,,medical
5,2014,Ouray,,medical
5,2014,Park,,medical
5,2014,Pitkin,95001.0,medical
5,2014,Pueblo,452196.0,medical
5,2014,Routt,159620.0,medical
5,2014,San Miguel,49679.0,medical
5,2014,Sedgwick,,medical
5,2014,Summit,201566.0,medical
5,2014,Teller,,medical
5,2014,Weld,516873.0,medical
5,2014,Sum of NR Counties,522238.0,medical
4,2014,Adams,452636.0,medical
4,2014,Adams,,retail
4,2014,Alamosa,,medical
4,2014,Boulder,1835900.0,retail
4,2014,Arapahoe,1517828.0,medical
4,2014,Clear Creek,369117.0,retail
4,2014,Archuleta,,medical
4,2014,Denver,12005332.0,retail
4,2014,Boulder,3136133.0,medical
4,2014,Garfield,,retail
4,2014,Chaffee,,medical
4,2014,Gilpin,114408.0,retail
4,2014,Clear Creek,92791.0,medical
4,2014,Gunnison,,retail
4,2014,Costilla,,medical
4,2014,Jefferson,1368618.0,retail
4,2014,Denver,15064678.0,medical
4,2014,Lake,,retail
4,2014,Eagle,178397.0,medical
4,2014,Larimer,,retail
4,2014,El Paso,5535184.0,medical
4,2014,Ouray,,retail
4,2014,Fremont,225243.0,medical
4,2014,Park,,retail
4,2014,Garfield,371447.0,medical
4,2014,Pitkin,227021.0,retail
4,2014,Gilpin,43162.0,medical
4,2014,Pueblo,1132339.0,retail
4,2014,Grand,,medical
4,2014,Routt,,retail
4,2014,Gunnison,,medical
4,2014,San Miguel,188733.0,retail
4,2014,Jefferson,2039086.0,medical
4,2014,Summit,757131.0,retail
4,2014,La Plata,613521.0,medical
4,2014,Weld,521853.0,retail
4,2014,Larimer,1162178.0,medical
4,2014,Sum of NR Counties,2245534.0,retail
4,2014,Mesa,,medical
4,2014,Moffat,,medical
4,2014,Montezuma,108703.0,medical
4,2014,Montrose,,medical
4,2014,Ouray,,medical
4,2014,Park,,medical
4,2014,Pitkin,123525.0,medical
4,2014,Pueblo,401959.0,medical
4,2014,Routt,186308.0,medical
4,2014,San Miguel,64107.0,medical
4,2014,Sedgwick,,medical
4,2014,Summit,243097.0,medical
4,2014,Teller,,medical
4,2014,Weld,519545.0,medical
4,2014,Sum of NR Counties,607341.0,medical
10,2014,Adams,474637.0,medical
10,2014,Adams,,retail
10,2014,Alamosa,,medical
10,2014,Arapahoe,,retail
10,2014,Arapahoe,1396842.0,medical
10,2014,Archuleta,,retail
10,2014,Archuleta,,medical
10,2014,Boulder,3477557.0,retail
10,2014,Boulder,2660593.0,medical
10,2014,Chaffee,,retail
10,2014,Chaffee,,medical
10,2014,Clear Creek,338132.0,retail
10,2014,Clear Creek,102858.0,medical
10,2014,Denver,14895186.0,retail
10,2014,Costilla,,medical
10,2014,Eagle,356123.0,retail
10,2014,Denver,15006222.0,medical
10,2014,El Paso,,retail
10,2014,Eagle,206273.0,medical
10,2014,Garfield,553834.0,retail
10,2014,El Paso,5742846.0,medical
10,2014,Gilpin,,retail
10,2014,Fremont,174220.0,medical
10,2014,Gunnison,184394.0,retail
10,2014,Garfield,389617.0,medical
10,2014,Jefferson,1714442.0,retail
10,2014,Gilpin,,medical
10,2014,Lake,,retail
10,2014,Grand,,medical
10,2014,La Plata,,retail
10,2014,Gunnison,,medical
10,2014,Larimer,1523402.0,retail
10,2014,Jefferson,1923839.0,medical
10,2014,Morgan,,retail
10,2014,La Plata,531825.0,medical
10,2014,Ouray,,retail
10,2014,Larimer,1232929.0,medical
10,2014,Park,,retail
10,2014,Mesa,,medical
10,2014,Pitkin,246079.0,retail
10,2014,Moffat,,medical
10,2014,Pueblo,1245865.0,retail
10,2014,Montezuma,,medical
10,2014,Routt,,retail
10,2014,Montrose,,medical
10,2014,Saguache,,retail
10,2014,Morgan,,medical
10,2014,San Miguel,278409.0,retail
10,2014,Ouray,,medical
10,2014,Sedgwick,,retail
10,2014,Park,,medical
10,2014,Summit,632225.0,retail
10,2014,Pitkin,86614.0,medical
10,2014,Weld,1126809.0,retail
10,2014,Pueblo,352545.0,medical
10,2014,Sum of NR Counties,4613528.0,retail
10,2014,Routt,,medical
10,2014,San Miguel,36239.0,medical
10,2014,Sedgwick,,medical
10,2014,Summit,178233.0,medical
10,2014,Teller,,medical
10,2014,Weld,361629.0,medical
10,2014,Sum of NR Counties,921255.0,medical
6,2016,Adams,379841.0,medical
6,2016,Adams,3434567.0,retail
6,2016,Alamosa,,medical
6,2016,Arapahoe,7565406.0,retail
6,2016,Arapahoe,1485581.0,medical
6,2016,Archuleta,,retail
6,2016,Archuleta,,medical
6,2016,Boulder,5541278.0,retail
6,2016,Boulder,2271053.0,medical
6,2016,Chaffee,455848.0,retail
6,2016,Chaffee,,medical
6,2016,Clear Creek,553669.0,retail
6,2016,Clear Creek,68418.0,medical
6,2016,Conejos,332403.0,retail
6,2016,Costilla,,medical
6,2016,Costilla,265269.0,retail
6,2016,Denver,18632737.0,medical
6,2016,Denver,21841675.0,retail
6,2016,Eagle,211161.0,medical
6,2016,Eagle,842569.0,retail
6,2016,El Paso,8443101.0,medical
6,2016,El Paso,,retail
6,2016,Fremont,212028.0,medical
6,2016,Garfield,1333408.0,retail
6,2016,Garfield,426581.0,medical
6,2016,Gilpin,243952.0,retail
6,2016,Gilpin,,medical
6,2016,Grand,261059.0,retail
6,2016,Grand,,medical
6,2016,Gunnison,479935.0,retail
6,2016,Gunnison,,medical
6,2016,Huerfano,,retail
6,2016,Jefferson,1538630.0,medical
6,2016,Jefferson,3753947.0,retail
6,2016,La Plata,441148.0,medical
6,2016,Lake,206574.0,retail
6,2016,Larimer,1222737.0,medical
6,2016,La Plata,1939519.0,retail
6,2016,Las Animas,,medical
6,2016,Larimer,3648840.0,retail
